dataset,feature_x,feature_y,feature_x_value,feature_y_value,prediction,pdp_n
Daily bike rentals,temp,hum,0.36008162499999996,0,3973.3040140403423,50
Daily bike rentals,temp,hum,0.36008162499999996,0.04052083333333333,3973.3040140403423,50
Daily bike rentals,temp,hum,0.36008162499999996,0.08104166666666666,3973.3040140403423,50
Daily bike rentals,temp,hum,0.36008162499999996,0.12156249999999999,3978.387707707009,50
Daily bike rentals,temp,hum,0.36008162499999996,0.16208333333333333,3986.813251707009,50
Daily bike rentals,temp,hum,0.36008162499999996,0.20260416666666667,3989.011655707009,50
Daily bike rentals,temp,hum,0.36008162499999996,0.24312499999999998,3990.633705707009,50
Daily bike rentals,temp,hum,0.36008162499999996,0.2836458333333333,3991.772491040342,50
Daily bike rentals,temp,hum,0.36008162499999996,0.32416666666666666,3992.417359802247,50
Daily bike rentals,temp,hum,0.36008162499999996,0.3646875,3995.2795731355804,50
Daily bike rentals,temp,hum,0.36008162499999996,0.40520833333333334,3987.2501911355803,50
Daily bike rentals,temp,hum,0.36008162499999996,0.4457291666666667,3989.3885038248127,50
Daily bike rentals,temp,hum,0.36008162499999996,0.48624999999999996,4007.4534618417056,50
Daily bike rentals,temp,hum,0.36008162499999996,0.5267708333333333,4017.516218381798,50
Daily bike rentals,temp,hum,0.36008162499999996,0.5672916666666666,4003.076069588917,50
Daily bike rentals,temp,hum,0.36008162499999996,0.6078125,4002.4510797643024,50
Daily bike rentals,temp,hum,0.36008162499999996,0.6483333333333333,3956.091759226396,50
Daily bike rentals,temp,hum,0.36008162499999996,0.6888541666666667,3864.536432858312,50
Daily bike rentals,temp,hum,0.36008162499999996,0.729375,3788.1392685096675,50
Daily bike rentals,temp,hum,0.36008162499999996,0.7698958333333333,3688.145019092685,50
Daily bike rentals,temp,hum,0.36008162499999996,0.8104166666666667,3551.4816113251013,50
Daily bike rentals,temp,hum,0.36008162499999996,0.8509375,3400.6683460757376,50
Daily bike rentals,temp,hum,0.36008162499999996,0.8914583333333334,3338.772194808433,50
Daily bike rentals,temp,hum,0.36008162499999996,0.9319791666666667,3267.919731511267,50
Daily bike rentals,temp,hum,0.36008162499999996,0.9725,3241.7970529953936,50
Daily bike rentals,temp,hum,0.39352065,0,4152.660497026418,50
Daily bike rentals,temp,hum,0.39352065,0.04052083333333333,4152.660497026418,50
Daily bike rentals,temp,hum,0.39352065,0.08104166666666666,4152.660497026418,50
Daily bike rentals,temp,hum,0.39352065,0.12156249999999999,4157.744190693085,50
Daily bike rentals,temp,hum,0.39352065,0.16208333333333333,4164.446839359752,50
Daily bike rentals,temp,hum,0.39352065,0.20260416666666667,4167.250303359751,50
Daily bike rentals,temp,hum,0.39352065,0.24312499999999998,4168.944353359751,50
Daily bike rentals,temp,hum,0.39352065,0.2836458333333333,4169.914586693085,50
Daily bike rentals,temp,hum,0.39352065,0.32416666666666666,4170.675547454989,50
Daily bike rentals,temp,hum,0.39352065,0.3646875,4173.853930121656,50
Daily bike rentals,temp,hum,0.39352065,0.40520833333333334,4168.4217104073705,50
Daily bike rentals,temp,hum,0.39352065,0.4457291666666667,4172.411544481219,50
Daily bike rentals,temp,hum,0.39352065,0.48624999999999996,4184.9618393870005,50
Daily bike rentals,temp,hum,0.39352065,0.5267708333333333,4186.900662609252,50
Daily bike rentals,temp,hum,0.39352065,0.5672916666666666,4170.363323779157,50
Daily bike rentals,temp,hum,0.39352065,0.6078125,4162.949155209954,50
Daily bike rentals,temp,hum,0.39352065,0.6483333333333333,4120.773895783159,50
Daily bike rentals,temp,hum,0.39352065,0.6888541666666667,4031.1695365842324,50
Daily bike rentals,temp,hum,0.39352065,0.729375,3939.2426055342894,50
Daily bike rentals,temp,hum,0.39352065,0.7698958333333333,3831.254616448134,50
Daily bike rentals,temp,hum,0.39352065,0.8104166666666667,3688.1306551125854,50
Daily bike rentals,temp,hum,0.39352065,0.8509375,3515.4666576467716,50
Daily bike rentals,temp,hum,0.39352065,0.8914583333333334,3438.729289894619,50
Daily bike rentals,temp,hum,0.39352065,0.9319791666666667,3364.800901454595,50
Daily bike rentals,temp,hum,0.39352065,0.9725,3337.6726015498334,50
Daily bike rentals,temp,hum,0.426959675,0,4448.783950044858,50
Daily bike rentals,temp,hum,0.426959675,0.04052083333333333,4448.783950044858,50
Daily bike rentals,temp,hum,0.426959675,0.08104166666666666,4448.783950044858,50
Daily bike rentals,temp,hum,0.426959675,0.12156249999999999,4452.848048044859,50
Daily bike rentals,temp,hum,0.426959675,0.16208333333333333,4458.341326711525,50
Daily bike rentals,temp,hum,0.426959675,0.20260416666666667,4460.8283127115255,50
Daily bike rentals,temp,hum,0.426959675,0.24312499999999998,4461.933308711526,50
Daily bike rentals,temp,hum,0.426959675,0.2836458333333333,4462.769800044858,50
Daily bike rentals,temp,hum,0.426959675,0.32416666666666666,4461.9583824431265,50
Daily bike rentals,temp,hum,0.426959675,0.3646875,4468.5584663478885,50
Daily bike rentals,temp,hum,0.426959675,0.40520833333333334,4465.63728130027,50
